Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 15:34:00-04:00,280.97,280.82,Buy,VRSK1
2024-07-16 15:36:00-04:00,281.26,280.82,Sell - Away from SMA,VRSK1
2024-07-22 14:36:00-04:00,280.26,280.11,Buy,VRSK2
2024-07-22 14:38:00-04:00,280.28,280.11,Sell - Away from SMA,VRSK2
2024-07-25 10:40:00-04:00,278.77,278.46,Buy,VRSK3
2024-07-25 10:44:00-04:00,278.70,278.46,Sell - Away from SMA,VRSK3
2024-07-26 12:20:00-04:00,279.54,279.48,Buy,VRSK4
2024-07-26 12:22:00-04:00,279.48,279.48,Sell - Stop Loss,VRSK4
2024-07-29 12:10:00-04:00,284.09,284.02,Buy,VRSK5
2024-07-29 12:12:00-04:00,284.45,284.02,Sell - Away from SMA,VRSK5
2024-07-29 15:26:00-04:00,283.93,283.80,Buy,VRSK6
2024-07-29 15:28:00-04:00,283.97,283.80,Sell - Away from SMA,VRSK6
2024-07-29 15:44:00-04:00,284.17,284.09,Buy,VRSK7
2024-07-29 15:46:00-04:00,284.09,284.09,Sell - Stop Loss,VRSK7
2024-07-30 15:08:00-04:00,285.53,285.44,Buy,VRSK8
2024-07-30 15:10:00-04:00,285.63,285.44,Sell - Away from SMA,VRSK8
2024-08-01 15:02:00-04:00,260.31,260.23,Buy,VRSK9
2024-08-01 15:04:00-04:00,260.23,260.23,Sell - Stop Loss,VRSK9
2024-08-01 15:50:00-04:00,261.54,261.33,Buy,VRSK10
2024-08-01 15:52:00-04:00,261.33,261.33,Sell - Stop Loss,VRSK10
2024-08-02 09:30:00-04:00,261.48,261.24,Buy,VRSK11
2024-08-02 09:32:00-04:00,266.77,261.24,Sell - Away from SMA,VRSK11
2024-08-02 10:28:00-04:00,265.07,264.63,Buy,VRSK12
2024-08-02 10:30:00-04:00,264.70,264.63,Sell - Away from SMA,VRSK12
2024-08-02 15:58:00-04:00,266.77,266.52,Buy,VRSK13
2024-08-05 09:30:00-04:00,266.52,266.52,Sell - Stop Loss,VRSK13
2024-08-06 10:04:00-04:00,264.82,264.33,Buy,VRSK14
2024-08-06 10:06:00-04:00,265.25,264.33,Sell - Away from SMA,VRSK14
2024-08-06 10:24:00-04:00,263.34,262.89,Buy,VRSK15
2024-08-06 10:26:00-04:00,263.93,262.89,Sell - Away from SMA,VRSK15
2024-08-07 11:42:00-04:00,264.71,264.68,Buy,VRSK16
2024-08-07 11:44:00-04:00,264.68,264.68,Sell - Stop Loss,VRSK16
2024-08-07 12:50:00-04:00,264.95,264.92,Buy,VRSK17
2024-08-07 12:52:00-04:00,264.92,264.92,Sell - Stop Loss,VRSK17
2024-08-08 13:18:00-04:00,263.87,263.79,Buy,VRSK18
2024-08-08 13:20:00-04:00,263.96,263.79,Sell - Away from SMA,VRSK18
2024-08-08 13:52:00-04:00,264.72,264.66,Buy,VRSK19
2024-08-08 13:58:00-04:00,264.66,264.66,Sell - Stop Loss,VRSK19
2024-08-09 15:18:00-04:00,263.71,263.68,Buy,VRSK20
2024-08-09 15:20:00-04:00,263.87,263.68,Sell - Away from SMA,VRSK20
2024-08-20 11:56:00-04:00,268.37,268.32,Buy,VRSK21
2024-08-20 11:58:00-04:00,268.46,268.32,Sell - Away from SMA,VRSK21
2024-08-20 12:56:00-04:00,268.27,268.15,Buy,VRSK22
2024-08-20 12:58:00-04:00,268.45,268.15,Sell - Away from SMA,VRSK22
2024-08-21 14:36:00-04:00,269.50,269.42,Buy,VRSK23
2024-08-21 14:38:00-04:00,269.53,269.42,Sell - Away from SMA,VRSK23
2024-08-22 10:02:00-04:00,269.80,269.62,Buy,VRSK24
2024-08-22 10:08:00-04:00,270.45,269.62,Sell - Away from SMA,VRSK24
2024-08-22 15:32:00-04:00,270.21,270.18,Buy,VRSK25
2024-08-22 15:34:00-04:00,270.40,270.18,Sell - Away from SMA,VRSK25
