Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 13:02:00-04:00,86.29,86.15,Buy,VST1
2024-07-16 13:04:00-04:00,86.44,86.15,Sell - Away from SMA,VST1
2024-07-16 13:30:00-04:00,86.64,86.55,Buy,VST2
2024-07-16 13:32:00-04:00,86.55,86.55,Sell - Stop Loss,VST2
2024-07-18 15:06:00-04:00,75.62,75.47,Buy,VST3
2024-07-18 15:08:00-04:00,75.69,75.47,Sell - Away from SMA,VST3
2024-07-18 15:52:00-04:00,75.94,75.68,Buy,VST4
2024-07-18 15:54:00-04:00,76.08,75.68,Sell - Away from SMA,VST4
2024-07-22 10:34:00-04:00,78.35,78.25,Buy,VST5
2024-07-22 10:36:00-04:00,78.61,78.25,Sell - Away from SMA,VST5
2024-07-22 11:46:00-04:00,78.36,78.26,Buy,VST6
2024-07-22 11:48:00-04:00,78.41,78.26,Sell - Away from SMA,VST6
2024-07-22 12:12:00-04:00,78.22,78.08,Buy,VST7
2024-07-22 12:14:00-04:00,78.38,78.08,Sell - Away from SMA,VST7
2024-07-22 13:02:00-04:00,78.59,78.51,Buy,VST8
2024-07-22 13:04:00-04:00,78.74,78.51,Sell - Away from SMA,VST8
2024-07-22 14:08:00-04:00,78.53,78.39,Buy,VST9
2024-07-22 14:10:00-04:00,78.53,78.39,Sell - Away from SMA,VST9
2024-07-22 15:58:00-04:00,79.11,78.95,Buy,VST10
2024-07-23 09:30:00-04:00,78.95,78.95,Sell - Stop Loss,VST10
2024-07-23 09:38:00-04:00,79.20,78.95,Buy,VST11
2024-07-23 09:40:00-04:00,79.31,78.95,Sell - Away from SMA,VST11
2024-07-23 10:42:00-04:00,79.68,79.48,Buy,VST12
2024-07-23 10:44:00-04:00,79.79,79.48,Sell - Away from SMA,VST12
2024-07-23 11:38:00-04:00,80.14,80.05,Buy,VST13
2024-07-23 11:40:00-04:00,80.22,80.05,Sell - Away from SMA,VST13
2024-07-23 11:48:00-04:00,80.31,80.21,Buy,VST14
2024-07-23 11:50:00-04:00,80.47,80.21,Sell - Away from SMA,VST14
2024-07-23 12:02:00-04:00,80.47,80.36,Buy,VST15
2024-07-23 12:04:00-04:00,80.60,80.36,Sell - Away from SMA,VST15
2024-07-23 12:46:00-04:00,80.84,80.77,Buy,VST16
2024-07-23 12:48:00-04:00,80.95,80.77,Sell - Away from SMA,VST16
2024-07-26 09:44:00-04:00,71.93,71.38,Buy,VST17
2024-07-26 09:46:00-04:00,71.38,71.38,Sell - Stop Loss,VST17
2024-07-26 10:46:00-04:00,71.06,70.74,Buy,VST18
2024-07-26 10:48:00-04:00,71.08,70.74,Sell - Away from SMA,VST18
2024-07-26 10:56:00-04:00,70.96,70.87,Buy,VST19
2024-07-26 10:58:00-04:00,71.10,70.87,Sell - Away from SMA,VST19
2024-07-31 11:52:00-04:00,79.48,79.28,Buy,VST20
2024-07-31 11:54:00-04:00,79.66,79.28,Sell - Away from SMA,VST20
2024-08-01 10:10:00-04:00,79.67,79.47,Buy,VST21
2024-08-01 10:12:00-04:00,79.93,79.47,Sell - Away from SMA,VST21
2024-08-02 13:08:00-04:00,72.94,72.71,Buy,VST22
2024-08-02 13:10:00-04:00,72.97,72.71,Sell - Away from SMA,VST22
2024-08-05 11:44:00-04:00,70.93,70.72,Buy,VST23
2024-08-05 11:46:00-04:00,71.11,70.72,Sell - Away from SMA,VST23
2024-08-05 12:02:00-04:00,70.60,70.15,Buy,VST24
2024-08-05 12:04:00-04:00,70.97,70.15,Sell - Away from SMA,VST24
2024-08-05 13:08:00-04:00,70.19,70.04,Buy,VST25
2024-08-05 13:10:00-04:00,70.37,70.04,Sell - Away from SMA,VST25
2024-08-05 13:26:00-04:00,70.49,70.33,Buy,VST26
2024-08-05 13:28:00-04:00,70.33,70.33,Sell - Stop Loss,VST26
2024-08-05 13:40:00-04:00,70.79,70.59,Buy,VST27
2024-08-05 13:42:00-04:00,70.85,70.59,Sell - Away from SMA,VST27
2024-08-06 10:48:00-04:00,73.28,73.03,Buy,VST28
2024-08-06 10:50:00-04:00,73.57,73.03,Sell - Away from SMA,VST28
2024-08-06 12:14:00-04:00,73.85,73.74,Buy,VST29
2024-08-06 12:16:00-04:00,73.94,73.74,Sell - Away from SMA,VST29
2024-08-06 14:20:00-04:00,75.26,75.11,Buy,VST30
