Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:10:00-04:00,7.77,7.74,Buy,WBD1
2024-07-16 11:30:00-04:00,7.74,7.74,Sell - Stop Loss,WBD1
2024-07-18 10:30:00-04:00,8.82,8.78,Buy,WBD2
2024-07-18 10:32:00-04:00,8.78,8.78,Sell - Stop Loss,WBD2
2024-07-30 11:02:00-04:00,8.59,8.56,Buy,WBD3
2024-07-30 11:30:00-04:00,8.82,8.56,Sell - Away from SMA,WBD3
2024-07-31 12:26:00-04:00,8.80,8.77,Buy,WBD4
2024-07-31 12:52:00-04:00,8.77,8.77,Sell - Stop Loss,WBD4
2024-08-02 09:48:00-04:00,8.41,8.36,Buy,WBD5
2024-08-02 09:50:00-04:00,8.49,8.36,Sell - Away from SMA,WBD5
2024-08-05 13:40:00-04:00,8.08,8.02,Buy,WBD6
2024-08-05 13:48:00-04:00,8.02,8.02,Sell - Stop Loss,WBD6
2024-08-07 11:08:00-04:00,7.78,7.75,Buy,WBD7
2024-08-07 13:28:00-04:00,7.75,7.75,Sell - Stop Loss,WBD7
2024-08-13 10:14:00-04:00,6.82,6.78,Buy,WBD8
2024-08-13 13:18:00-04:00,7.03,7.00,Buy,WBD9
2024-08-14 09:30:00-04:00,7.00,7.00,Sell - Stop Loss,WBD9
2024-08-15 09:34:00-04:00,7.10,6.78,Sell - Away from SMA,WBD8
2024-08-15 10:50:00-04:00,7.17,7.13,Buy,WBD10
2024-08-15 14:18:00-04:00,7.13,7.13,Sell - Stop Loss,WBD10
2024-08-16 09:36:00-04:00,7.34,7.30,Buy,WBD11
2024-08-16 14:34:00-04:00,7.30,7.30,Sell - Stop Loss,WBD11
2024-08-23 10:10:00-04:00,7.68,7.64,Buy,WBD12
2024-08-23 10:54:00-04:00,7.84,7.80,Buy,WBD13
