Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-19 09:44:00-04:00,71.05,70.84,Buy,WDC1
2024-07-19 09:46:00-04:00,71.24,70.84,Sell - Away from SMA,WDC1
2024-07-19 10:34:00-04:00,71.09,70.96,Buy,WDC2
2024-07-19 10:40:00-04:00,71.04,70.96,Sell - Away from SMA,WDC2
2024-07-22 12:54:00-04:00,72.49,72.41,Buy,WDC3
2024-07-22 12:56:00-04:00,72.56,72.41,Sell - Away from SMA,WDC3
2024-07-23 10:18:00-04:00,72.99,72.88,Buy,WDC4
2024-07-23 10:20:00-04:00,73.03,72.88,Sell - Away from SMA,WDC4
2024-07-24 10:08:00-04:00,73.77,73.55,Buy,WDC5
2024-07-24 10:10:00-04:00,74.09,73.55,Sell - Away from SMA,WDC5
2024-07-24 10:26:00-04:00,74.30,74.04,Buy,WDC6
2024-07-24 10:28:00-04:00,74.04,74.04,Sell - Stop Loss,WDC6
2024-07-25 13:00:00-04:00,68.52,68.43,Buy,WDC7
2024-07-25 13:02:00-04:00,68.78,68.43,Sell - Away from SMA,WDC7
2024-07-26 11:04:00-04:00,67.82,67.65,Buy,WDC8
2024-07-26 11:06:00-04:00,67.65,67.65,Sell - Stop Loss,WDC8
2024-07-26 14:48:00-04:00,67.96,67.84,Buy,WDC9
2024-07-26 14:50:00-04:00,68.07,67.84,Sell - Away from SMA,WDC9
2024-07-26 15:40:00-04:00,68.01,67.94,Buy,WDC10
2024-07-26 15:42:00-04:00,67.94,67.94,Sell - Stop Loss,WDC10
2024-07-29 12:38:00-04:00,66.85,66.76,Buy,WDC11
2024-07-29 12:40:00-04:00,66.98,66.76,Sell - Away from SMA,WDC11
2024-07-31 11:24:00-04:00,65.75,65.68,Buy,WDC12
2024-07-31 11:26:00-04:00,65.97,65.68,Sell - Away from SMA,WDC12
2024-07-31 12:04:00-04:00,65.67,65.56,Buy,WDC13
2024-07-31 12:10:00-04:00,65.76,65.56,Sell - Away from SMA,WDC13
2024-07-31 15:38:00-04:00,66.37,66.24,Buy,WDC14
2024-07-31 15:40:00-04:00,66.72,66.24,Sell - Away from SMA,WDC14
2024-07-31 15:58:00-04:00,66.99,66.82,Buy,WDC15
2024-08-01 09:30:00-04:00,66.82,66.82,Sell - Stop Loss,WDC15
2024-08-05 12:16:00-04:00,57.04,56.94,Buy,WDC16
2024-08-05 12:18:00-04:00,57.18,56.94,Sell - Away from SMA,WDC16
2024-08-06 10:52:00-04:00,58.76,58.64,Buy,WDC17
2024-08-06 10:54:00-04:00,58.64,58.64,Sell - Stop Loss,WDC17
2024-08-06 13:40:00-04:00,58.72,58.60,Buy,WDC18
2024-08-06 13:42:00-04:00,58.60,58.60,Sell - Stop Loss,WDC18
2024-08-08 09:58:00-04:00,57.21,57.06,Buy,WDC19
2024-08-08 10:00:00-04:00,57.27,57.06,Sell - Away from SMA,WDC19
2024-08-08 11:30:00-04:00,57.75,57.58,Buy,WDC20
2024-08-08 11:32:00-04:00,57.92,57.58,Sell - Away from SMA,WDC20
2024-08-08 13:36:00-04:00,59.08,58.97,Buy,WDC21
2024-08-08 13:38:00-04:00,59.20,58.97,Sell - Away from SMA,WDC21
2024-08-08 13:46:00-04:00,59.25,59.17,Buy,WDC22
2024-08-08 13:48:00-04:00,59.31,59.17,Sell - Away from SMA,WDC22
2024-08-12 10:44:00-04:00,60.67,60.56,Buy,WDC23
2024-08-12 10:46:00-04:00,60.78,60.56,Sell - Away from SMA,WDC23
2024-08-13 11:18:00-04:00,61.16,61.10,Buy,WDC24
2024-08-13 11:24:00-04:00,61.25,61.10,Sell - Away from SMA,WDC24
2024-08-13 12:40:00-04:00,61.13,61.08,Buy,WDC25
2024-08-13 12:44:00-04:00,61.26,61.08,Sell - Away from SMA,WDC25
2024-08-13 14:28:00-04:00,61.75,61.68,Buy,WDC26
2024-08-13 14:30:00-04:00,61.84,61.68,Sell - Away from SMA,WDC26
2024-08-13 15:12:00-04:00,61.26,61.19,Buy,WDC27
2024-08-13 15:22:00-04:00,61.40,61.19,Sell - Away from SMA,WDC27
2024-08-14 15:42:00-04:00,61.45,61.40,Buy,WDC28
2024-08-14 15:46:00-04:00,61.40,61.40,Sell - Stop Loss,WDC28
2024-08-15 09:48:00-04:00,62.35,62.18,Buy,WDC29
2024-08-15 09:50:00-04:00,62.53,62.18,Sell - Away from SMA,WDC29
2024-08-15 10:40:00-04:00,62.62,62.53,Buy,WDC30
2024-08-15 10:42:00-04:00,62.53,62.53,Sell - Stop Loss,WDC30
2024-08-15 11:08:00-04:00,62.90,62.84,Buy,WDC31
2024-08-15 11:10:00-04:00,63.02,62.84,Sell - Away from SMA,WDC31
2024-08-15 14:16:00-04:00,63.51,63.40,Buy,WDC32
2024-08-15 14:18:00-04:00,63.55,63.40,Sell - Away from SMA,WDC32
2024-08-15 14:42:00-04:00,63.59,63.53,Buy,WDC33
2024-08-15 14:44:00-04:00,63.67,63.53,Sell - Away from SMA,WDC33
2024-08-16 10:06:00-04:00,63.95,63.80,Buy,WDC34
2024-08-16 10:08:00-04:00,63.80,63.80,Sell - Stop Loss,WDC34
2024-08-16 10:14:00-04:00,64.08,63.94,Buy,WDC35
2024-08-16 10:16:00-04:00,64.21,63.94,Sell - Away from SMA,WDC35
2024-08-16 12:20:00-04:00,64.16,64.08,Buy,WDC36
2024-08-16 12:22:00-04:00,64.19,64.08,Sell - Away from SMA,WDC36
2024-08-16 13:22:00-04:00,64.28,64.21,Buy,WDC37
2024-08-16 13:34:00-04:00,64.21,64.21,Sell - Stop Loss,WDC37
2024-08-16 14:28:00-04:00,64.21,64.15,Buy,WDC38
2024-08-16 14:30:00-04:00,64.27,64.15,Sell - Away from SMA,WDC38
2024-08-19 13:24:00-04:00,64.30,64.23,Buy,WDC39
2024-08-19 13:26:00-04:00,64.43,64.23,Sell - Away from SMA,WDC39
2024-08-19 13:54:00-04:00,64.63,64.58,Buy,WDC40
