Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:10:00-04:00,54.52,54.46,Buy,WRB1
2024-07-16 10:12:00-04:00,54.61,54.46,Sell - Away from SMA,WRB1
2024-07-16 11:58:00-04:00,54.58,54.55,Buy,WRB2
2024-07-16 12:04:00-04:00,54.69,54.55,Sell - Away from SMA,WRB2
2024-07-16 12:34:00-04:00,54.82,54.79,Buy,WRB3
2024-07-16 12:38:00-04:00,54.79,54.79,Sell - Stop Loss,WRB3
2024-07-17 10:50:00-04:00,55.63,55.54,Buy,WRB4
2024-07-17 10:52:00-04:00,55.68,55.54,Sell - Away from SMA,WRB4
2024-07-17 15:30:00-04:00,55.70,55.65,Buy,WRB5
2024-07-17 15:32:00-04:00,55.72,55.65,Sell - Away from SMA,WRB5
2024-07-18 09:36:00-04:00,55.92,55.85,Buy,WRB6
2024-07-18 09:38:00-04:00,56.30,55.85,Sell - Away from SMA,WRB6
2024-07-18 10:28:00-04:00,56.38,56.34,Buy,WRB7
2024-07-18 10:46:00-04:00,56.34,56.34,Sell - Stop Loss,WRB7
2024-07-18 11:40:00-04:00,56.54,56.49,Buy,WRB8
2024-07-18 11:48:00-04:00,56.49,56.49,Sell - Stop Loss,WRB8
2024-07-22 10:40:00-04:00,51.97,51.89,Buy,WRB9
2024-07-22 10:42:00-04:00,52.00,51.89,Sell - Away from SMA,WRB9
2024-07-23 15:24:00-04:00,52.19,52.16,Buy,WRB10
2024-07-23 15:32:00-04:00,52.16,52.16,Sell - Stop Loss,WRB10
2024-07-25 13:06:00-04:00,53.11,53.08,Buy,WRB11
2024-07-25 13:24:00-04:00,53.08,53.08,Sell - Stop Loss,WRB11
2024-07-26 09:46:00-04:00,53.30,53.27,Buy,WRB12
2024-07-26 09:48:00-04:00,53.56,53.27,Sell - Away from SMA,WRB12
2024-07-26 10:20:00-04:00,53.74,53.68,Buy,WRB13
2024-07-26 10:22:00-04:00,53.86,53.68,Sell - Away from SMA,WRB13
2024-07-29 09:44:00-04:00,53.83,53.76,Buy,WRB14
2024-07-29 09:46:00-04:00,54.09,53.76,Sell - Away from SMA,WRB14
2024-07-29 13:16:00-04:00,53.98,53.93,Buy,WRB15
2024-07-29 13:20:00-04:00,54.07,53.93,Sell - Away from SMA,WRB15
2024-07-30 13:02:00-04:00,55.32,55.27,Buy,WRB16
2024-07-30 13:04:00-04:00,55.44,55.27,Sell - Away from SMA,WRB16
