Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-18 11:28:00-04:00,269.42,269.36,Buy,WTW1
2024-07-18 11:30:00-04:00,269.98,269.36,Sell - Away from SMA,WTW1
2024-07-23 13:50:00-04:00,265.90,265.86,Buy,WTW2
2024-07-23 13:52:00-04:00,266.21,265.86,Sell - Away from SMA,WTW2
2024-07-23 15:42:00-04:00,266.18,266.15,Buy,WTW3
2024-07-23 15:44:00-04:00,266.15,266.15,Sell - Stop Loss,WTW3
2024-07-24 10:12:00-04:00,266.10,265.91,Buy,WTW4
2024-07-24 10:16:00-04:00,265.91,265.91,Sell - Stop Loss,WTW4
2024-07-25 15:42:00-04:00,277.09,276.82,Buy,WTW5
2024-07-25 15:44:00-04:00,278.18,276.82,Sell - Away from SMA,WTW5
2024-07-26 10:40:00-04:00,281.76,281.69,Buy,WTW6
2024-07-26 10:42:00-04:00,282.67,281.69,Sell - Away from SMA,WTW6
2024-08-06 13:14:00-04:00,277.56,277.32,Buy,WTW7
2024-08-06 13:22:00-04:00,277.82,277.32,Sell - Away from SMA,WTW7
2024-08-07 11:52:00-04:00,279.60,279.51,Buy,WTW8
2024-08-07 11:54:00-04:00,279.64,279.51,Sell - Away from SMA,WTW8
2024-08-12 15:54:00-04:00,275.56,275.26,Buy,WTW9
2024-08-12 15:56:00-04:00,275.73,275.26,Sell - Away from SMA,WTW9
2024-08-14 10:18:00-04:00,277.95,277.56,Buy,WTW10
2024-08-14 10:22:00-04:00,278.26,277.56,Sell - Away from SMA,WTW10
2024-08-15 11:26:00-04:00,280.50,280.46,Buy,WTW11
2024-08-15 11:30:00-04:00,280.74,280.46,Sell - Away from SMA,WTW11
2024-08-19 10:42:00-04:00,282.14,282.11,Buy,WTW12
2024-08-19 10:52:00-04:00,282.11,282.11,Sell - Stop Loss,WTW12
2024-08-19 15:50:00-04:00,282.03,281.98,Buy,WTW13
2024-08-19 15:52:00-04:00,281.98,281.98,Sell - Stop Loss,WTW13
2024-08-21 14:36:00-04:00,283.26,283.19,Buy,WTW14
2024-08-21 14:38:00-04:00,283.25,283.19,Sell - Away from SMA,WTW14
2024-08-21 15:58:00-04:00,283.49,283.35,Buy,WTW15
2024-08-22 09:30:00-04:00,283.35,283.35,Sell - Stop Loss,WTW15
