Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:38:00-04:00,115.72,115.60,Buy,XOM1
2024-07-16 11:42:00-04:00,115.79,115.60,Sell - Away from SMA,XOM1
2024-07-16 14:20:00-04:00,115.97,115.90,Buy,XOM2
2024-07-16 14:26:00-04:00,116.10,115.90,Sell - Away from SMA,XOM2
2024-07-17 15:32:00-04:00,117.83,117.74,Buy,XOM3
2024-07-17 15:34:00-04:00,117.98,117.74,Sell - Away from SMA,XOM3
2024-07-18 10:44:00-04:00,118.94,118.79,Buy,XOM4
2024-07-18 10:46:00-04:00,119.08,118.79,Sell - Away from SMA,XOM4
2024-07-18 10:52:00-04:00,118.96,118.78,Buy,XOM5
2024-07-18 10:54:00-04:00,119.10,118.78,Sell - Away from SMA,XOM5
2024-07-18 11:08:00-04:00,119.34,119.24,Buy,XOM6
2024-07-18 11:10:00-04:00,119.45,119.24,Sell - Away from SMA,XOM6
2024-07-18 11:40:00-04:00,119.64,119.52,Buy,XOM7
2024-07-18 11:42:00-04:00,119.72,119.52,Sell - Away from SMA,XOM7
2024-07-23 14:56:00-04:00,113.56,113.51,Buy,XOM8
2024-07-23 15:30:00-04:00,113.54,113.51,Sell - Away from SMA,XOM8
2024-07-23 15:48:00-04:00,113.42,113.35,Buy,XOM9
2024-07-23 15:56:00-04:00,113.35,113.35,Sell - Stop Loss,XOM9
2024-07-24 09:44:00-04:00,114.68,114.45,Buy,XOM10
2024-07-24 09:46:00-04:00,114.76,114.45,Sell - Away from SMA,XOM10
2024-07-24 12:46:00-04:00,114.77,114.70,Buy,XOM11
2024-07-24 12:48:00-04:00,114.86,114.70,Sell - Away from SMA,XOM11
2024-07-24 13:08:00-04:00,114.96,114.86,Buy,XOM12
2024-07-24 13:10:00-04:00,115.05,114.86,Sell - Away from SMA,XOM12
2024-07-25 11:00:00-04:00,116.01,115.88,Buy,XOM13
2024-07-25 11:02:00-04:00,116.14,115.88,Sell - Away from SMA,XOM13
2024-07-25 14:20:00-04:00,117.21,117.13,Buy,XOM14
2024-07-25 14:22:00-04:00,117.28,117.13,Sell - Away from SMA,XOM14
2024-07-26 12:38:00-04:00,117.68,117.58,Buy,XOM15
2024-07-26 12:40:00-04:00,117.89,117.58,Sell - Away from SMA,XOM15
2024-07-26 14:00:00-04:00,117.80,117.73,Buy,XOM16
2024-07-26 14:02:00-04:00,117.88,117.73,Sell - Away from SMA,XOM16
2024-07-30 10:44:00-04:00,117.36,117.28,Buy,XOM17
2024-07-30 10:46:00-04:00,117.44,117.28,Sell - Away from SMA,XOM17
2024-07-30 11:58:00-04:00,117.26,117.18,Buy,XOM18
2024-07-30 12:02:00-04:00,117.18,117.18,Sell - Stop Loss,XOM18
2024-07-30 12:10:00-04:00,117.28,117.18,Buy,XOM19
2024-07-30 12:12:00-04:00,117.48,117.18,Sell - Away from SMA,XOM19
2024-07-30 12:50:00-04:00,118.44,118.26,Buy,XOM20
2024-07-30 12:52:00-04:00,118.26,118.26,Sell - Stop Loss,XOM20
2024-07-30 13:58:00-04:00,118.42,118.32,Buy,XOM21
2024-07-30 14:00:00-04:00,118.58,118.32,Sell - Away from SMA,XOM21
2024-07-30 14:40:00-04:00,118.22,118.15,Buy,XOM22
2024-07-30 14:44:00-04:00,118.15,118.15,Sell - Stop Loss,XOM22
2024-07-31 12:48:00-04:00,119.53,119.44,Buy,XOM23
2024-07-31 12:50:00-04:00,119.63,119.44,Sell - Away from SMA,XOM23
2024-08-06 13:36:00-04:00,115.33,115.24,Buy,XOM24
2024-08-06 13:38:00-04:00,115.38,115.24,Sell - Away from SMA,XOM24
2024-08-06 14:22:00-04:00,115.09,114.98,Buy,XOM25
2024-08-06 14:24:00-04:00,115.22,114.98,Sell - Away from SMA,XOM25
2024-08-08 10:12:00-04:00,117.48,117.29,Buy,XOM26
2024-08-08 10:14:00-04:00,117.29,117.29,Sell - Stop Loss,XOM26
2024-08-08 11:56:00-04:00,117.28,117.16,Buy,XOM27
2024-08-08 11:58:00-04:00,117.38,117.16,Sell - Away from SMA,XOM27
2024-08-08 13:54:00-04:00,117.62,117.51,Buy,XOM28
2024-08-08 13:58:00-04:00,117.77,117.51,Sell - Away from SMA,XOM28
2024-08-09 10:36:00-04:00,118.30,118.10,Buy,XOM29
2024-08-09 10:38:00-04:00,118.50,118.10,Sell - Away from SMA,XOM29
2024-08-09 10:54:00-04:00,118.40,118.28,Buy,XOM30
2024-08-09 10:56:00-04:00,118.57,118.28,Sell - Away from SMA,XOM30
2024-08-12 15:16:00-04:00,118.72,118.65,Buy,XOM31
2024-08-12 15:32:00-04:00,118.90,118.65,Sell - Away from SMA,XOM31
2024-08-12 15:54:00-04:00,118.81,118.65,Buy,XOM32
2024-08-12 15:56:00-04:00,118.90,118.65,Sell - Away from SMA,XOM32
2024-08-13 12:36:00-04:00,117.99,117.91,Buy,XOM33
2024-08-13 12:42:00-04:00,118.16,117.91,Sell - Away from SMA,XOM33
2024-08-13 14:12:00-04:00,118.25,118.18,Buy,XOM34
2024-08-13 14:18:00-04:00,118.18,118.18,Sell - Stop Loss,XOM34
2024-08-13 15:06:00-04:00,118.26,118.20,Buy,XOM35
2024-08-13 15:10:00-04:00,118.20,118.20,Sell - Stop Loss,XOM35
2024-08-14 10:14:00-04:00,118.77,118.59,Buy,XOM36
2024-08-14 10:16:00-04:00,118.82,118.59,Sell - Away from SMA,XOM36
2024-08-14 12:30:00-04:00,118.83,118.74,Buy,XOM37
2024-08-14 12:32:00-04:00,119.00,118.74,Sell - Away from SMA,XOM37
2024-08-14 12:58:00-04:00,119.27,119.19,Buy,XOM38
2024-08-14 13:00:00-04:00,119.32,119.19,Sell - Away from SMA,XOM38
2024-08-15 11:50:00-04:00,119.38,119.30,Buy,XOM39
2024-08-15 11:52:00-04:00,119.30,119.30,Sell - Stop Loss,XOM39
2024-08-16 13:16:00-04:00,118.10,118.04,Buy,XOM40
2024-08-16 13:24:00-04:00,118.22,118.04,Sell - Away from SMA,XOM40
2024-08-16 14:12:00-04:00,118.35,118.30,Buy,XOM41
2024-08-16 14:16:00-04:00,118.47,118.30,Sell - Away from SMA,XOM41
2024-08-19 10:24:00-04:00,119.57,119.48,Buy,XOM42
2024-08-19 10:26:00-04:00,119.80,119.48,Sell - Away from SMA,XOM42
2024-08-19 10:52:00-04:00,120.45,120.34,Buy,XOM43
2024-08-19 10:54:00-04:00,120.50,120.34,Sell - Away from SMA,XOM43
2024-08-21 11:38:00-04:00,115.33,115.24,Buy,XOM44
2024-08-21 11:40:00-04:00,115.41,115.24,Sell - Away from SMA,XOM44
2024-08-22 13:36:00-04:00,114.55,114.46,Buy,XOM45
2024-08-22 13:52:00-04:00,114.46,114.46,Sell - Stop Loss,XOM45
2024-08-22 15:58:00-04:00,114.55,114.48,Buy,XOM46
2024-08-23 09:30:00-04:00,115.23,114.48,Sell - Away from SMA,XOM46
2024-08-23 11:22:00-04:00,116.35,116.27,Buy,XOM47
2024-08-23 11:24:00-04:00,116.27,116.27,Sell - Stop Loss,XOM47
2024-08-23 12:54:00-04:00,116.34,116.20,Buy,XOM48
2024-08-23 12:56:00-04:00,116.45,116.20,Sell - Away from SMA,XOM48
2024-08-23 13:26:00-04:00,116.64,116.58,Buy,XOM49
2024-08-23 13:28:00-04:00,116.70,116.58,Sell - Away from SMA,XOM49
